content,score,label,reviewCreatedVersion,at,appVersion,content_lower_case
"saya dulu instal gojek tapi tau2 hilang sendiri, sampai sekarang malah gak bisa login, padahal juga selalu memberi rating bintang 5 mau itu pelayanan kurang memuaskan. hampir 5 tahun ini saya instal ulang tidak bisa, kenapa ya ?",1,0,4.70.1,2026-02-02 15:15:38,4.70.1,saya dulu instal gojek tapi tau2 hilang sendiri sampai sekarang malah gak bisa login padahal juga selalu memberi rating bintang 5 mau itu pelayanan kurang memuaskan hampir 5 tahun ini saya instal ulang tidak bisa kenapa ya
sangat memudahkan,5,1,5.46.2,2026-02-02 15:08:27,5.46.2,sangat memudahkan
"gopaylater gak bisa dipake lagii, padahal gak pernah sama sekali telat bayar,,,tahap review trus gak kelar2 udah 5 bulann,, mending pake aplikasi lain ajh yg bisa paylater ,,, bener2 kecewa pokoknyaaaa",2,0,5.48.2,2026-02-02 14:58:32,5.48.2,gopaylater gak bisa dipake lagii padahal gak pernah sama sekali telat bayar tahap review trus gak kelar2 udah 5 bulann mending pake aplikasi lain ajh yg bisa paylater bener2 kecewa pokoknyaaaa
orderan gofood terlalu lama sejahterakan drivernya,1,0,5.47.1,2026-02-02 14:48:49,5.47.1,orderan gofood terlalu lama sejahterakan drivernya
"sekarang gofood, tidak kelihatan map driver nya saat penjemputan dan pengantaran... padahal itu penting untuk monitor lokasinya",1,0,5.48.2,2026-02-02 14:48:34,5.48.2,sekarang gofood tidak kelihatan map driver nya saat penjemputan dan pengantaran padahal itu penting untuk monitor lokasinya
bagus,5,1,,2026-02-02 14:45:00,,bagus
"untuk gofood lebih praktis, lebih cepat dan lebih ekonomis,🙏🏻",5,1,5.47.1,2026-02-02 14:32:38,5.47.1,untuk gofood lebih praktis lebih cepat dan lebih ekonomis
"sudah 1 jam menunggu lebih driver gofood dan tidak bisa batalkan pesanan, tidak bisa pesan yg lain karena tidak bisa membatalkan pesanan, waktu terbuang sia-sia.",1,0,5.47.1,2026-02-02 14:29:15,5.47.1,sudah 1 jam menunggu lebih driver gofood dan tidak bisa batalkan pesanan tidak bisa pesan yg lain karena tidak bisa membatalkan pesanan waktu terbuang sia sia
"Mahal & go-food tidak menampilkan GPS driver melainkan icon ""makanan sudah di jalan"".",1,0,,2026-02-02 14:23:07,,mahal go food tidak menampilkan gps driver melainkan icon makanan sudah di jalan
pesan makan di sini lelet,1,0,5.48.2,2026-02-02 14:20:30,5.48.2,pesan makan di sini lelet
nggak drivernya nggak aplikasinya ruweettr..,1,0,5.47.1,2026-02-02 14:15:13,5.47.1,nggak drivernya nggak aplikasinya ruweettr
mantap,5,1,5.47.1,2026-02-02 14:13:46,5.47.1,mantap
sangat baik,5,1,5.47.1,2026-02-02 14:10:03,5.47.1,sangat baik
Woke... Solutif,5,1,5.47.1,2026-02-02 14:09:48,5.47.1,woke solutif
memudahkan urusan diwaktu darurat,4,1,5.47.1,2026-02-02 14:06:29,5.47.1,memudahkan urusan diwaktu darurat
Gampang le migunaake.. numpak motor lan mobil ora repot. golek maeman ugo gampang,5,1,,2026-02-02 13:45:11,,gampang le migunaake numpak motor lan mobil ora repot golek maeman ugo gampang
satu kata lamaaaaaa. masak estimasi dapat drivernya satu jam an. terlalu lama,1,0,,2026-02-02 13:42:48,,satu kata lamaaaaaa masak estimasi dapat drivernya satu jam an terlalu lama
mw pake go send.. tp lama banget nemuin drivernya.. tapi kalo gocar / goride kok cepet. kan aneh.. coba d benerin lg min 🙏🙏,5,1,5.47.1,2026-02-02 13:42:43,5.47.1,mw pake go send tp lama banget nemuin drivernya tapi kalo gocar goride kok cepet kan aneh coba d benerin lg min
Drivernya sopan²,5,1,5.42.1,2026-02-02 13:32:40,5.42.1,drivernya sopan
sukses Selalu Gojek,5,1,,2026-02-02 13:25:57,,sukses selalu gojek
Lebih aman&nyaman,5,1,5.47.1,2026-02-02 13:23:26,5.47.1,lebih aman nyaman
aplikasi rusak bodoh,1,0,5.48.2,2026-02-02 13:21:36,5.48.2,aplikasi rusak bodoh
"saya revisi bintang dri 3 ke 1, hari ini saya pesan goride ditolak 1x, lalu dapet driver baru gak gerak ditelpon sma di chat gak direspon, saya batalkan setelah 15 menit, pas pesan lagi harganya naik dari 42 ke 64rb gila berasa diperes sma goride, total waktu kebuang 35menitan cuma nunggu gak jelas, kalau dapet driver selalu jauh gak pernah deket, padahal ada banyak driver disekitar, dan kejadian ini sudah kesekian kalinya, mending pake aplikasi sebelah, kecewa berat sma goride",1,0,5.45.1,2026-02-02 13:15:06,5.45.1,saya revisi bintang dri 3 ke 1 hari ini saya pesan goride ditolak 1x lalu dapet driver baru gak gerak ditelpon sma di chat gak direspon saya batalkan setelah 15 menit pas pesan lagi harganya naik dari 42 ke 64rb gila berasa diperes sma goride total waktu kebuang 35menitan cuma nunggu gak jelas kalau dapet driver selalu jauh gak pernah deket padahal ada banyak driver disekitar dan kejadian ini sudah kesekian kalinya mending pake aplikasi sebelah kecewa berat sma goride
puas,5,1,5.48.2,2026-02-02 13:05:01,5.48.2,puas
respon keluhannya lama dan sering error.,1,0,5.48.2,2026-02-02 12:57:46,5.48.2,respon keluhannya lama dan sering error
aplikasi nga jelas makanan nga pernah di i anter 2 kali order nga di anter nga niat jadi apk gajelas nga ada pemberitahuan kalo toko tutup dll,1,0,,2026-02-02 12:34:41,,aplikasi nga jelas makanan nga pernah di i anter 2 kali order nga di anter nga niat jadi apk gajelas nga ada pemberitahuan kalo toko tutup dll
"di daerah jakarta susah banget nyari driver yang mau ngambil order, tiap order didiemin ordernya, dichatt driver ga jawab, posisi ga gerak berkali. kalikaya gitu, akhornya mulai hari ini saya pindah ke aplimasi sebelah karena drivernya lebih mau kerja",1,0,5.46.2,2026-02-02 12:33:14,5.46.2,di daerah jakarta susah banget nyari driver yang mau ngambil order tiap order didiemin ordernya dichatt driver ga jawab posisi ga gerak berkali kalikaya gitu akhornya mulai hari ini saya pindah ke aplimasi sebelah karena drivernya lebih mau kerja
oke aja,4,1,5.48.2,2026-02-02 12:28:13,5.48.2,oke aja
Jemput cepat dan nyampe tujuan tepat,5,1,5.47.1,2026-02-02 12:27:19,5.47.1,jemput cepat dan nyampe tujuan tepat
"sebenernya kalau order makanan lama banget segitu Ekpres ,beda ama Aplikasi sebelah . mungkin bisa ditingkatkan lagi",5,1,,2026-02-02 12:16:14,,sebenernya kalau order makanan lama banget segitu ekpres beda ama aplikasi sebelah mungkin bisa ditingkatkan lagi
cepat dan aman,5,1,5.47.1,2026-02-02 12:11:45,5.47.1,cepat dan aman
"SANGAT MENGECEWAKAN GORIDE HEMAT, KATANYA DRIVER DIPAKSA BAYAR LEBIH BUAT DAPET ORDERAN HEMAT 20RB SEHARI, KASIHAN SEKALI PENGELUARAN DRIVER 30rb bensin+ 20rb Langganan, misal dapet 100rb Driver cuma bawa uang 50rb buat keluarga di rumah, APAKAH CUKUP UNTUK BERTAHAN HIDUP???",1,0,5.47.1,2026-02-02 12:01:17,5.47.1,sangat mengecewakan goride hemat katanya driver dipaksa bayar lebih buat dapet orderan hemat 20rb sehari kasihan sekali pengeluaran driver 30rb bensin 20rb langganan misal dapet 100rb driver cuma bawa uang 50rb buat keluarga di rumah apakah cukup untuk bertahan hidup
good,5,1,5.47.1,2026-02-02 11:56:35,5.47.1,good
Mantap!,5,1,,2026-02-02 11:55:17,,mantap
cucok meong,5,1,5.47.1,2026-02-02 11:47:49,5.47.1,cucok meong
"ini kenapa cari driver susah banget sih? Udah pesan express masih aja telat. udah 2 kali dapat masalah bgini, customer lain sepertinya juga begitu tapi belum ada pembenahan. minimal tambahkan fitur batalkan pembelian kalau terlalu lama nunggu driver. ini sejam nunggu belum ada driver.",1,0,5.43.1,2026-02-02 11:46:55,5.43.1,ini kenapa cari driver susah banget sih udah pesan express masih aja telat udah 2 kali dapat masalah bgini customer lain sepertinya juga begitu tapi belum ada pembenahan minimal tambahkan fitur batalkan pembelian kalau terlalu lama nunggu driver ini sejam nunggu belum ada driver
"sekarang pelayanan gojek bener2 mengecewakan. setiap pagi order gojek motor dan mobil susah dan ahirnya terpaksa berangkat naik kendaraan sendiri. meski sudah di tambah pencarian cepat dan itu menambah biaya juga sama saja tidak dapat driver, sesekali dapat dengan jarak yg cukup jauh, sudah di tunggu malah di batalkan. saya pengguna lama, yg saya lihat semakin hari pelayanan semakin tidak bagus. mungkin akan di pertimbangkan uninstall apk tersebut karna pelayanan nya sudah tidak bagus.",1,0,5.47.1,2026-02-02 11:45:37,5.47.1,sekarang pelayanan gojek bener2 mengecewakan setiap pagi order gojek motor dan mobil susah dan ahirnya terpaksa berangkat naik kendaraan sendiri meski sudah di tambah pencarian cepat dan itu menambah biaya juga sama saja tidak dapat driver sesekali dapat dengan jarak yg cukup jauh sudah di tunggu malah di batalkan saya pengguna lama yg saya lihat semakin hari pelayanan semakin tidak bagus mungkin akan di pertimbangkan uninstall apk tersebut karna pelayanan nya sudah tidak bagus
good,5,1,5.47.1,2026-02-02 11:45:35,5.47.1,good
gak pernah dapet voucer gratis ongkir,2,0,5.47.1,2026-02-02 11:35:24,5.47.1,gak pernah dapet voucer gratis ongkir
"Hallo Gojek, saya mau buat pengaduan tapi bingung kemana jadi saya kasih bintang 1. Sudah 2 bulan ini entah kenapa sulit sekali cari driver, harga melambung tinggi tetapi driver yang menjemput jauh jauh jaraknya. Bagaimana dengan sistem gojek? semoga pengaduan ini terbaca oleh tim gojek. Sangat disayangkan saya pengguna lama gojek tetapi tidak nyaman dengan keadaan seperti ini Terima Kasih",1,0,5.43.1,2026-02-02 11:27:42,5.43.1,hallo gojek saya mau buat pengaduan tapi bingung kemana jadi saya kasih bintang 1 sudah 2 bulan ini entah kenapa sulit sekali cari driver harga melambung tinggi tetapi driver yang menjemput jauh jauh jaraknya bagaimana dengan sistem gojek semoga pengaduan ini terbaca oleh tim gojek sangat disayangkan saya pengguna lama gojek tetapi tidak nyaman dengan keadaan seperti ini terima kasih
simple,5,1,5.47.1,2026-02-02 11:22:10,5.47.1,simple
aplikasi yang sangat membantu,4,1,5.48.2,2026-02-02 11:21:32,5.48.2,aplikasi yang sangat membantu
pelayanannya bagus👍👍,5,1,5.47.1,2026-02-02 11:19:49,5.47.1,pelayanannya bagus
pada kayak ga niat narik penumpang,1,0,5.47.1,2026-02-02 11:13:44,5.47.1,pada kayak ga niat narik penumpang
"semenjak hujan,harga siang sama jam pulang kerja beda lumayan banyak loh..misalkan siang harga 20 rb ini sore nya sampe 32 rb ya? lumayan loh 50%",1,0,5.46.2,2026-02-02 11:13:18,5.46.2,semenjak hujan harga siang sama jam pulang kerja beda lumayan banyak loh misalkan siang harga 20 rb ini sore nya sampe 32 rb ya lumayan loh 50
mantep pokoknya,5,1,5.47.1,2026-02-02 11:06:45,5.47.1,mantep pokoknya
banyakin promo nya dong kak 🙏🙏🙏,5,1,5.47.1,2026-02-02 11:05:45,5.47.1,banyakin promo nya dong kak
ok,5,1,5.47.1,2026-02-02 11:00:43,5.47.1,ok
baik,5,1,5.47.1,2026-02-02 11:00:27,5.47.1,baik
mantap,5,1,5.46.2,2026-02-02 11:00:04,5.46.2,mantap
mantap,4,1,5.47.1,2026-02-02 10:57:08,5.47.1,mantap
kenapa duit aku sering berkurang yg di gopay kisaran 5rb ke bawah gak aman kah di sini,1,0,5.47.1,2026-02-02 10:53:52,5.47.1,kenapa duit aku sering berkurang yg di gopay kisaran 5rb ke bawah gak aman kah di sini
hampir 1 jam saya menunggu gak ada yang mau mengambil orderan saya padahal banyak mitra anda di sekitar saya tapi gak ada yang mau ambil orderan saya,1,0,,2026-02-02 10:51:27,,hampir 1 jam saya menunggu gak ada yang mau mengambil orderan saya padahal banyak mitra anda di sekitar saya tapi gak ada yang mau ambil orderan saya
sekarang susah banget dapet driver kalo pake goride hemat. ga ada yg mau ambil. buat apa ada pilihan hemat kalo driver nya ga ada. mending kasih promo yg wajar aja tp driver masih mau ambil penumpang.,1,0,5.47.1,2026-02-02 10:49:43,5.47.1,sekarang susah banget dapet driver kalo pake goride hemat ga ada yg mau ambil buat apa ada pilihan hemat kalo driver nya ga ada mending kasih promo yg wajar aja tp driver masih mau ambil penumpang
Terbaik,5,1,,2026-02-02 10:49:34,,terbaik
"GO-SEND prioritas ga guna, nunggu 5 jam ga ada driver yg mau ngambil.. apanya yg prioritas!!!!",1,0,5.47.1,2026-02-02 10:49:05,5.47.1,go send prioritas ga guna nunggu 5 jam ga ada driver yg mau ngambil apanya yg prioritas
setiap top up selalu kena potongan,1,0,5.47.1,2026-02-02 10:47:45,5.47.1,setiap top up selalu kena potongan
bagusss tapi diskon lebih lagi ya ehee,5,1,5.46.2,2026-02-02 10:36:34,5.46.2,bagusss tapi diskon lebih lagi ya ehee
goodjob,5,1,5.33.1,2026-02-02 10:34:08,5.33.1,goodjob
Ok. Recommended,5,1,5.48.2,2026-02-02 10:26:38,5.48.2,ok recommended
knpa sih sejak ada gojek hemat drivernya pada ga mau ambil orderannya.. aneh deh ya.. dipelayannanya ada tapi ga ada yg mau ambil orderannya sama juga bohong dong,3,0,5.47.1,2026-02-02 10:17:09,5.47.1,knpa sih sejak ada gojek hemat drivernya pada ga mau ambil orderannya aneh deh ya dipelayannanya ada tapi ga ada yg mau ambil orderannya sama juga bohong dong
setiap milih goride hemat selalu dapat yg sangat jauh.ayolah kalo dapat itu yg gak jauh jauh amat susah carinya.di cancel Mulu.,1,0,5.47.1,2026-02-02 10:12:23,5.47.1,setiap milih goride hemat selalu dapat yg sangat jauh ayolah kalo dapat itu yg gak jauh jauh amat susah carinya di cancel mulu
"knpa skrng jd lebih lama ya anter makanannya, pdhal jaraknya ga terlalu jauh tapi bisa sampe 30 - 50 menit. sedangkan di aplikasi lain bisa lebih cepet. tolong di perbaiki ya, terimakasih.",3,0,,2026-02-02 10:03:30,,knpa skrng jd lebih lama ya anter makanannya pdhal jaraknya ga terlalu jauh tapi bisa sampe 30 50 menit sedangkan di aplikasi lain bisa lebih cepet tolong di perbaiki ya terimakasih
baikkkk,5,1,5.48.2,2026-02-02 10:02:53,5.48.2,baikkkk
ok,5,1,5.47.1,2026-02-02 9:59:01,5.47.1,ok
sangat bermanfaat dan memudahkan perjalanan,5,1,5.47.1,2026-02-02 9:58:49,5.47.1,sangat bermanfaat dan memudahkan perjalanan
"Tiap pembayaran selalu yg muncul awal pasti opsi pakai paylater, tiba2 ada denda 50.000 karena telat bayar paylater, padahal bulan lalu merasa nggak pakai, pas di cek bener aja ada transaksi yg nggak sngaja kebayar pake paylater, padahal transaksi 3k doangggg, dendanyaaa 50k edan",1,0,5.44.1,2026-02-02 9:44:10,5.44.1,tiap pembayaran selalu yg muncul awal pasti opsi pakai paylater tiba2 ada denda 50 000 karena telat bayar paylater padahal bulan lalu merasa nggak pakai pas di cek bener aja ada transaksi yg nggak sngaja kebayar pake paylater padahal transaksi 3k doangggg dendanyaaa 50k edan
aplikasi bagus memudahkan pesan makanan transportasi membantu aktifitas sehari hari,5,1,,2026-02-02 9:34:47,,aplikasi bagus memudahkan pesan makanan transportasi membantu aktifitas sehari hari
"sebenarnya ini gojek bagus banget, banyak diskon yang awalnya ayam harga 120 , dapat 5, jadi 70 rban aja, aku suka, yang gaa aku suka rata rata, tokonya, aku pesen express masih aja lambat , duit Lo itu , cuma beda 2ribu aja si, yg biasa 15 , express 17 RB, but it's okey, soalnya kalo lapar tinggal pesen digojek , harga murah, diskon banyakk 😍",5,1,5.47.1,2026-02-02 9:23:47,5.47.1,sebenarnya ini gojek bagus banget banyak diskon yang awalnya ayam harga 120 dapat 5 jadi 70 rban aja aku suka yang gaa aku suka rata rata tokonya aku pesen express masih aja lambat duit lo itu cuma beda 2ribu aja si yg biasa 15 express 17 rb but it s okey soalnya kalo lapar tinggal pesen digojek harga murah diskon banyakk
Oke lah kalo begitu,5,1,4.90.2,2026-02-02 9:23:44,4.90.2,oke lah kalo begitu
jos,5,1,5.47.1,2026-02-02 9:20:58,5.47.1,jos
"jangan minta di update terus dong,emang kenapa sih?",3,0,5.40.1,2026-02-02 9:16:51,5.40.1,jangan minta di update terus dong emang kenapa sih
"semarang crito kejadian td pagi. Pas mau nganter sekolah tetangga minta tlng order goride dr daerah Karyadi ke SMP 5 sekitar jam 6.15 pagi. Argo hemat 7000, ride biasa 15.000. Diat bilang hemat aja mas wong selisih jauh, maklum Dimata Cust tetep pesen hemat. Aku Manut tak orderke. Sampe jam 6.40 masih muter2. Akhirnya tak cancel tak ganti order Maxim, ga sampe semenit dapet. Padahal di seputar Karyadi wakeh driver udut. Sebegitu parahnya sistem hemat berbayar, demi Chuan pastinya banyak Cust",1,0,,2026-02-02 8:56:01,,semarang crito kejadian td pagi pas mau nganter sekolah tetangga minta tlng order goride dr daerah karyadi ke smp 5 sekitar jam 6 15 pagi argo hemat 7000 ride biasa 15 000 diat bilang hemat aja mas wong selisih jauh maklum dimata cust tetep pesen hemat aku manut tak orderke sampe jam 6 40 masih muter2 akhirnya tak cancel tak ganti order maxim ga sampe semenit dapet padahal di seputar karyadi wakeh driver udut sebegitu parahnya sistem hemat berbayar demi chuan pastinya banyak cust
srng gangguan,1,0,,2026-02-02 8:42:41,,srng gangguan
bolehlah,4,1,5.47.1,2026-02-02 8:37:35,5.47.1,bolehlah
ok,5,1,5.47.1,2026-02-02 8:35:34,5.47.1,ok
lumayan,4,1,5.46.2,2026-02-02 8:27:20,5.46.2,lumayan
BEST,5,1,5.47.1,2026-02-02 8:08:33,5.47.1,best
ok,5,1,5.47.1,2026-02-02 8:05:10,5.47.1,ok
"tolong min saldo saya tiba tiba kepotong tanpa ada perizinan saya padahal saldo saya itu buat bayar keperluan malah tiba tiba di potong oleh sistem langganan dan saya juga tidak pernah langganan tetapi ketika ada saldo, saldo saya kepotong otomatis benahi sistem nya setidaknya kalo mau ada potongan atau segala macam harus ada perizinan",1,0,5.30.1,2026-02-02 7:56:51,5.30.1,tolong min saldo saya tiba tiba kepotong tanpa ada perizinan saya padahal saldo saya itu buat bayar keperluan malah tiba tiba di potong oleh sistem langganan dan saya juga tidak pernah langganan tetapi ketika ada saldo saldo saya kepotong otomatis benahi sistem nya setidaknya kalo mau ada potongan atau segala macam harus ada perizinan
mantap,5,1,,2026-02-02 7:41:22,,mantap
draiver nya ramah,5,1,5.47.1,2026-02-02 7:39:34,5.47.1,draiver nya ramah
gojek sangat membantu dikala genting...,5,1,5.47.1,2026-02-02 7:31:04,5.47.1,gojek sangat membantu dikala genting
saldo aku ketahan apl ny GK bisa dibuka...aku pake qris usaha...gimana ini,1,0,5.47.1,2026-02-02 7:26:35,5.47.1,saldo aku ketahan apl ny gk bisa dibuka aku pake qris usaha gimana ini
ok,5,1,5.47.1,2026-02-02 7:13:16,5.47.1,ok
aktifitas jadi mudah,5,1,,2026-02-02 7:06:34,,aktifitas jadi mudah
membantu,5,1,5.45.1,2026-02-02 7:02:48,5.45.1,membantu
mantap kok,4,1,5.48.2,2026-02-02 6:58:49,5.48.2,mantap kok
selalu bnyk promo dan driver gampang,5,1,5.48.2,2026-02-02 6:41:59,5.48.2,selalu bnyk promo dan driver gampang
Lumayan memudahkan,1,0,5.47.1,2026-02-02 6:25:11,5.47.1,lumayan memudahkan
udh pny akun tp dihp yg lama..pas download lg dihp baru gak bsa masuk gegara gak bsa verifikasi wajah...tahun baru bukan memudahkan malah ribet,4,1,5.47.1,2026-02-02 6:14:51,5.47.1,udh pny akun tp dihp yg lama pas download lg dihp baru gak bsa masuk gegara gak bsa verifikasi wajah tahun baru bukan memudahkan malah ribet
membantu disaat butuh cepat waktu,5,1,5.48.2,2026-02-02 6:12:10,5.48.2,membantu disaat butuh cepat waktu
senang sekali,5,1,5.48.2,2026-02-02 6:08:34,5.48.2,senang sekali
selalu hemat ongkos nya. makasih gojek sukses selalu ya,5,1,,2026-02-02 5:57:13,,selalu hemat ongkos nya makasih gojek sukses selalu ya
"kesel banget gua ini driver nya oknum doang ni ya, lu pada demen banget apa ya megang megang customer. udah 3 kali loh gua jadi korban pelecehan dari GOJEK ni, dari tangan di pegang pegang, pundak gua di pegang pegang. gatau dah driver yang awal tu kayak gimana sekarang gatau gua semenjak buat laporan, barusan gosend begitu sengaja megang tangan. trauma anjir lah, ngerusak hari bukan nya fokus sama apa yang jadi tujuan kek nyari duit anterin customer sampai selamat ke tempat tujuan.",1,0,5.42.1,2026-02-02 5:50:30,5.42.1,kesel banget gua ini driver nya oknum doang ni ya lu pada demen banget apa ya megang megang customer udah 3 kali loh gua jadi korban pelecehan dari gojek ni dari tangan di pegang pegang pundak gua di pegang pegang gatau dah driver yang awal tu kayak gimana sekarang gatau gua semenjak buat laporan barusan gosend begitu sengaja megang tangan trauma anjir lah ngerusak hari bukan nya fokus sama apa yang jadi tujuan kek nyari duit anterin customer sampai selamat ke tempat tujuan
kdang ada driver yg bkin naik darah.,5,1,5.47.1,2026-02-02 5:46:30,5.47.1,kdang ada driver yg bkin naik darah
mantaplah,5,1,,2026-02-02 5:41:29,,mantaplah
nyaman lbh praktis👍,5,1,5.48.2,2026-02-02 5:32:12,5.48.2,nyaman lbh praktis
Kenapa setiap saya pesan go-food Kok nggak bisa kak? Saya tuh sudah klik pesan antar kok tidak bisa apa yang harus diperbaiki? Di samping itu kok go-jek sering ada gangguan. Tolong segera diperbaiki.,5,1,5.47.1,2026-02-02 5:30:49,5.47.1,kenapa setiap saya pesan go food kok nggak bisa kak saya tuh sudah klik pesan antar kok tidak bisa apa yang harus diperbaiki di samping itu kok go jek sering ada gangguan tolong segera diperbaiki
pasti ada jalan,5,1,5.48.2,2026-02-02 5:25:28,5.48.2,pasti ada jalan
tidak nyaman,1,0,,2026-02-02 5:21:59,,tidak nyaman
Jempol..,5,1,5.47.1,2026-02-02 5:18:57,5.47.1,jempol
aplikasi transportasi terbaik,5,1,,2026-02-02 5:06:37,,aplikasi transportasi terbaik
ok,5,1,,2026-02-02 5:05:21,,ok
ok,5,1,,2026-02-02 5:01:53,,ok
